substituent,Name,Smiles_Pattern,Smarts_Pattern,Sigma_m,Sigma_P,F_b,R_c
cyclo-C4F7,0.48,0.53,0.45,0.08
COCF2CF2CF3,0.63,0.79,0.55,0.24
C(CF3)3,0.55,0.55,0.53,0.02
(CF2)3CF3,0.47,0.52,0.44,0.08
S02C(CF3)3,0.96,1.13,0.84,0.29
SC(CF3)3,0.51,0.58,0.47,0.11
C(SCF3)3,0.51,0.53,0.49,0.04
SeC(CF3)3,0.49,0.54,0.46,0.08
C(CN)3,0.97,0.96,0.92,0.04
cyclo-l-(OH)C4F6,0.36,0.37,0.36,0.01
CH=C(CN)2,0.66,0.84,0.57,0.27
2-(5-bromofuryl),0.15,0.00,0.23,-0.23
等待,0.33,0.27,0.36,-0.09
"3-chloro-l-pyrroline-2,5-dione",0.47,0.46,0.47,-0.01
3-pyridazinyl,0.28,0.48,0.21,0.27
"3,4-CH=CHCH=CH-",0.04,0.04,0.07,-0.03
C(Me)(CN)2,0.60,0.57,0.59,-0.02
4-pyrimidinyl,0.30,0.63,0.18,0.45
2-pyrimidinyl,0.23,0.53,0.13,0.40
5-pyrimidinyl,0.28,0.39,0.25,0.14
2-furyl,0.06,0.02,0.10,-0.08
2-thienyl,0.09,0.05,0.13,-0.08
3-thienyl,0.03,-0.02,0.08,-0.10
2-selenienyl,0.06,0.04,0.10,-0.06
2-tellurienyl,0.06,0.03,0.10,-0.07
1-pyrryl,0.47,0.37,0.50,-0.13
"l-pyrroline-2,5-dione",0.34,0.31,0.36,-0.05
CH=CHCOMe,0.21,-0.01,0.31,-0.32
I(OCOMe)2,0.85,0.88,0.80,0.08
N(COMe)2,0.35,0.33,0.36,-0.03
cyclobutyl,-0.05,-0.14,0.02,-0.16
COCHMe2,0.38,0.47,0.35,0.12
(CH2)4,-0.48,-0.48,-0.40,-0.08
NHCOCH(Me)2,0.11,-0.10,0.21,-0.31
C(Me)3,-0.10,-0.20,-0.02,-0.18
